EBS;place_name;country;disease_name;species_name;alert_id;source;href;issue_date;alert_tag;Manualclass;Confirmed ;Empres-i ref;reviewed;sc;sd;cc;cd;ro;long_name;lon;lat;Pointssamplingtool;Safesignal
HealthMap;"Bengaluru; Karnataka; India";India;Avian Influenza;Poultry (domestic);5889207;indiantribune;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH7WrMr6FvK5-ZX90-XnsYaCpnbJg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=z949W6j1GtaG3wH1g4O4CA&url=https://www.indiantribune.com/centre-confirmed-bird-flu-outbreak-eastern-part-bengaluru;05-janv-18;Breaking;Relevant;no;;8/28/19 12:57;;;;;;Google News;77.603287;12.97623;120;52,94
HealthMap;"Jakarta Capital Region; Indonesia";Indonesia;Avian Influenza;Birds;5890661;antara;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNELTGfhDznKBKldqfvzHawVlcigFQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779947827497&ei=HZI_W9iUNcbz3gG60LagDw&url=https://en.antaranews.com/news/116503/fao-warns-livestock-farmers-of-new-bird-flu-virus;06-juin-18;Warning;Irrelevant;no;;8/28/19 12:31;;;;;;Google News;106.806297;-6.18619;149;41,57
HealthMap;"Shenzhen; Guangdong Province; China";China;Avian Influenza H9N2;Humans;5942906;outbreaknewstoday;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHRFUx6DNIw-_OjixxgnBmRitZDEQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=SNZiW7jGGorG3wH-iY3IDg&url=http://outbreaknewstoday.com/h9n2-avian-influenza-case-reported-guangdong-province-china-78738/;02-Aug-2018;Breaking;Relevant;yes;239440;8/27/19 10:57;;;1;;;Google News;114.068298;22.54554;132;48,24
HealthMap;"Tỉnh Nghệ An; Nghệ An; Vietnam";Vietnam;Avian Influenza H5N6;Ducks (domestic);5942909;vnexpress international;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHUBNtKhuLNUopAl8135TUuqmJhKg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=QdZiW_iePJnE3wHr4p_gAQ&url=https://e.vnexpress.net/news/news/bird-flu-scare-sends-thousands-of-ducklings-to-their-death-in-vietnam-3786617.html;02-Aug-2018;Breaking;Relevant;yes;238790;08/05/2018 07:38;;;2400;;;Google News;104.916672;19.25;46;81,96
HealthMap;"Tuaran; Sabah; Malaysia";Malaysia;Avian Influenza;Chicken;5945500;free malaysia today;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF5ctK-sEd1tpOTrhAItU3ZVXzxxA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779990593879&ei=J3xkW5DQKYrG3wH-iY3IDg&url=http://www.freemalaysiatoday.com/category/nation/2018/08/03/sabah-bird-flu-epidemic-contained-says-minister/;03-Aug-2018;Breaking;Relevant;no;;08/04/2018 17:02;;;;;;Google News;116.333328;6.08333;83;67,45
HealthMap;"Tuaran; Sabah; Malaysia";Malaysia;Avian Influenza;Chicken;5945501;new straits times online;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGRLv3hj1LzVle1s392-GsN6nerlg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779990593879&ei=J3xkW5DQKYrG3wH-iY3IDg&url=https://www.nst.com.my/news/nation/2018/08/397661/tuaran-district-declared-bird-flu-outbreak-area;03-Aug-2018;Breaking;Relevant;no;;8/26/19 16:10;;;;;;Google News;116.333328;6.08333;83;67,45
HealthMap;Vietnam;Vietnam;Avian Influenza H5N6;Poultry (domestic);5945608;twitter;https://twitter.com/Reuters_Health/statuses/1025390812467748864;03-Aug-2018;Breaking;Relevant;yes;238790;8/26/19 16:34;;;;1590;;Twitter;108.457001;14.9447;70;72,55
HealthMap;"Tuaran; Sabah; Malaysia";Malaysia;Avian Influenza;Birds;5947410;thestar;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNG5DmLE6j1mdHC8IjjUur1aEg-SYw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779991425818&ei=iLFlW8DhHoTa3gH2p5XABg&url=https://www.thestar.com.my/news/nation/2018/08/04/caution-advised-for-sabahs-poultry-farmers-after-one-bird-flu-case-reported-near-kk/;04-Aug-2018;Warning;Irrelevant;no;;8/26/19 16:08;;;;;;Google News;116.333328;6.08333;83;67,45
HealthMap;Malaysia;Malaysia;Avian Influenza H5N1;Poultry (domestic);5949897;kfgo;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF-6-prGOl6MeJ2IBTg0NbnYgXxHQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779994135521&ei=azhoW5j0KoTa3gH2p5XABg&url=https://kfgo.com/news/articles/2018/aug/06/malaysia-reports-h5n1-bird-flu-outbreak-on-farm-oie/;06-Aug-2018;Breaking;Relevant;yes;238793;8/26/19 15:43;;;;3000;;Google News;113.191803;2.5746;20;92,16
HealthMap;"Ho Chi Minh; Vietnam";Vietnam;Avian Influenza H5N1;Humans;5958630;worldbulletin;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE0DlNGCZplwzePL1LHPOLDiu7VmA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=S35tW9DqNcXP3gHqkbyYAQ&url=http://www.worldbulletin.net/news/204858/bird-flu-kills-one-in-vietnam;10-Aug-2018;Breaking;Relevant;no;;8/26/19 14:58;;;;1;;Google News;106.629784;10.82327;120;52,94
HealthMap;"Tuaran; Sabah; Malaysia";Malaysia;Avian Influenza;Poultry (domestic);5958698;thehymalianinsight;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEUXy8PM4PQPzUWHFWGhMMlHiKYYQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=ZoxtW6i6BJnq3wGd_5S4Cw&url=https://www.themalaysianinsight.com/s/86605;07-Aug-2018;Breaking;Relevant;yes;239195;8/26/19 14:55;;;2;;;Google News;116.333328;6.08333;83;67,45
HealthMap;Sabbah;Malaysia;Avian Influenza;Poultry (domestic);5960528;new straits times online;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEOrucIBGOaliHyAALA3Ab7NZZvaA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=zc9uW5DrIITa3gH2p5XABg&url=https://www.nst.com.my/news/nation/2018/08/400397/bird-flu-outbreak-sabah-vet-dept-tells-residents-not-hide-fowls;11-Aug-2018;Breaking;Relevant;yes;238793;08/12/2018 22:28;;;;;;Google News;117.131157;5.348619;48;81,18
HealthMap;"Laibin; Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;5977451;twitter;https://twitter.com/FluTrackers/statuses/1031671186915303425;20-Aug-2018;Breaking;Relevant;yes;239439;8/26/19 11:28;;;1;;;Twitter;109.266998;23.700001;195;23,53
HealthMap;"Laibin; Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;5977602;outbreaknewstoday;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFwPc92P1zGWjcUbEqDVTNaZLRMSw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=SHJ7W7iNLYys3wHboYPQAQ&url=http://outbreaknewstoday.com/china-human-h5n6-avian-influenza-case-reported-guangxi-33168/;20-Aug-2018;Breaking;Relevant;yes;239439;8/26/19 11:27;;;1;;;Google News;109.266998;23.700001;195;23,53
HealthMap;"Laibin; Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;5978214;twitter;https://twitter.com/crof/statuses/1031912852058202112;21-Aug-2018;Breaking;Relevant;no;;8/26/19 11:19;;;1;;;Twitter;109.266998;23.700001;195;23,53
HealthMap;"Kampong Cham Province; Cambodia";Cambodia;Avian Influenza H5N1;Poultry (domestic);5995929;khmertimeskh;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH0kaTSxXIr8A-iLrINTJ8m9p4MHg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=aBeHW7iLBM623AGh6a3wAg&url=https://www.khmertimeskh.com/50528182/bird-flu-outbreak-in-tboung-khmum/;29-Aug-2018;Breaking;Relevant;yes;239383;8/23/19 14:09;;;;;;Google News;105.583328;12.08333;150;41,18
HealthMap;Malaysia;Malaysia;Avian Influenza;Poultry (domestic);6004123;arabnews;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFTrWUqTkPaSTq5BkfIJJ90oYai0A&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780029559730&ei=MgaNW4jWGs623AGh6a3wAg&url=http://www.arabnews.com/node/1365816/saudi-arabia;02-sept-18;Warning;Irrelevant;no;;09/06/2018 21:32;;;;;;Google News;113.191803;2.5746;20;92,16
HealthMap;"Guizhou Province; China";China;Avian Influenza H5N6;Poultry (domestic);6060294;the tribune;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHXBTfWkF6dpkWMJzaOGHH9gt66Lw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=T1uvW4DfCpaQ3AG-qZbYCg&url=https://www.tribuneindia.com/news/world/china-reports-h5n6-bird-flu-case-on-poultry-farm-in-guizhou-province/660667.html;29-sept-18;Breaking;Relevant;yes;240709;10/03/2018 21:02;;;;;;Google News;105.933296;26.25;115;54,9
HealthMap;"Guangdong Province; China";China;Avian Influenza H5N6;Poultry (domestic);6062576;twitter;https://twitter.com/FluTrackers/statuses/1046560449456738309;30-sept-18;Breaking;Relevant;yes;240695;8/22/19 11:04;;;1;;;Twitter;112.8405;24.8764;68;73,33
HealthMap;"Guangzhou; Guangdong Province; China";China;Avian Influenza H5N6;Humans;6064984;outbreaknewstoday;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH_40_La8Oqpcqjpr0YacZepFHXyQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=StGyW4jlFdO73wHjxa2wCQ&url=http://outbreaknewstoday.com/china-h5n6-avian-influenza-case-reported-guangdong-28400/;01-oct-18;Breaking;Relevant;yes;240695;8/22/19 10:19;;;1;;;Google News;113.25;23.1166;150;41,18
HealthMap;"Hunan Province; China";China;Avian Influenza H5N6;Poultry (domestic);6079921;twitter;https://twitter.com/Reuters_Health/statuses/1049626967690100738;09-oct-18;Breaking;Relevant;yes;240989;8/21/19 16:05;519;;;385;;Twitter;112.016602;27.9944;112;56,08
HealthMap;"Hunan Province; China";China;Avian Influenza H5N6;Poultry (domestic);6080054;shine;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH4cu1N6DAwBleq_wIK9ihI_1U5oA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=haa8W5i8E9a63wGRlJPwBg&url=https://www.shine.cn/news/nation/1810093207/;09-oct-18;Breaking;Relevant;yes;240989;8/21/19 15:33;;;;385;;Google News;112.016602;27.9944;112;56,08
HealthMap;"Hunan Province; China";China;Avian Influenza H5N6;Poultry (domestic);6083945;chanelnewsasia;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGVMSrg2dLxRQjoY7IsVq4KnyhJSQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780061392433&ei=uJK-W5noLs2f3QGwlargAw&url=https://www.channelnewsasia.com/news/asia/china-reports-new-h5n6-bird-flu-outbreak-in-hunan-province-10808126;09-oct-18;Breaking;Relevant;yes;240989;8/21/19 12:44;;;;385;;Google News;112.016602;27.9944;112;56,08
HealthMap;Vietnam;Vietnam;Avian Influenza;Poultry (domestic);6095752;vietnamnet;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFm2UFz3CwZwCrRi4XC3jRAGCPPsA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=SyTHW5i-PJLK3QHjp7eIAQ&url=https://english.vietnamnet.vn/fms/society/210369/over--32mil--for-bird-flu-control-in-vietnam-during-2019-2025.html;16-oct-18;Breaking;Irrelevant;no;;10/17/18 14:09;;;;;;Google News;108.457001;14.9447;70;72,55
HealthMap;Cambodia;Cambodia;Avian Influenza;Poultry (domestic);6119054;khmertimeskh;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHQTPEBcATFU3NWtsS_1XXlso5P2g&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=2XTXW_GkLY7o3AHKo4HgBA&url=https://www.khmertimeskh.com/50545286/ministry-cautions-against-bird-flu-during-water-festival/;29-oct-18;Warning;Irrelevant;no;;8/20/19 10:44;;;;;;Google News;104.923981;12.71643;153;40
HealthMap;Cambodia;Cambodia;Avian Influenza;Humans;6119054;khmertimeskh;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHQTPEBcATFU3NWtsS_1XXlso5P2g&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=2XTXW_GkLY7o3AHKo4HgBA&url=https://www.khmertimeskh.com/50545286/ministry-cautions-against-bird-flu-during-water-festival/;29-oct-18;Warning;Irrelevant;no;;8/20/19 10:44;;;;;;Google News;104.923981;12.71643;153;40
HealthMap;"Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;6122044;twitter;https://twitter.com/Fla_Medic/statuses/1057609708293513216;31-oct-18;Breaking;Relevant;yes;242230;8/19/19 15:40;;;1;1;;Twitter;109;24;147;42,35
HealthMap;"Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;6123183;twitter;https://twitter.com/crof/statuses/1057787048189280258;31-oct-18;Breaking;Relevant;yes;242230;8/19/19 15:17;;;1;1;;Twitter;109;24;147;42,35
HealthMap;"Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;6123230;outbreaknewstoday;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGMns4ganSZ_qyOQRJJs014SHtgFg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=NV7aW_CBD9Wg3QG6kL_oDQ&url=http://outbreaknewstoday.com/h5n6-avian-influenza-death-reported-guangxi-china-73515/;31-oct-18;Breaking;Relevant;yes;242230;8/19/19 15:16;;;1;1;;Google News;109;24;147;42,35
HealthMap;Macau;China;Avian Influenza;Humans;6123429;macaubusiness;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHiD01gajcwk-YDpg82WMI0mUU_qA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780085501254&ei=TnraW7DqAZmCpwfE7YX4Dg&url=http://www.macaubusiness.com/health-authority-warns-residents-after-bird-flu-death-in-nearby-chinese-region/;31-oct-18;Warning;Irrelevant;no;;8/19/19 15:13;;;;;;Google News;113.550003;22.166599;104;59,22
HealthMap;Hong Kong;China;Avian Influenza;Poultry (domestic);6126302;scmp;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF-f-tOj1UugY9n9KLZh_f8bPexRA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=T2ngW5jsA9m-3AHT-q2ICw&url=https://www.scmp.com/news/hong-kong/health-environment/article/2171617/hong-kong-remain-vigilant-over-bird-flu-threat;04-nov-18;Warning;Irrelevant;no;;11/08/2018 20:55;;;;;;Google News;114.150002;22.284;102;60
HealthMap;"Guangxi Autonomous Region; China";China;Avian Influenza H5N6;Humans;6127491;globalmeatnews;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGjc-7JuchG2j2F9nnbMuxRo4ipnQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780085501254&ei=UpPgW4F9wbrdAbOfisgJ&url=https://www.globalmeatnews.com/Article/2018/11/01/Human-case-of-avian-influenza-in-China;01-nov-18;Breaking;Relevant;no;;8/19/19 10:40;;;1;1;;Google News;109;24;147;42,35
HealthMap;Taiwan;China;Avian Influenza;Humans;6147264;twitter;https://twitter.com/FluTrackers/statuses/1063036362734100480;15-nov-18;Warning;Irrelevant;no;;8/16/19 12:30;;;;;;Twitter;121.016998;23.873001;72;71,76
HealthMap;"Yunnan Province; China";China;Avian Influenza H5N6;Poultry (domestic);6157457;reuters;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFgrcS-xkMjgZxIVRqPPUA7IK-9XA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=DEn1W6iBF5mCpwfE7YX4Dg&url=https://in.reuters.com/article/us-china-health-birdflu-outbreak/china-confirms-two-h5n6-bird-flu-outbreaks-in-yunnan-province-idINKCN1NQ19P;21-nov-18;Breaking;Relevant;yes;242729;8/15/19 14:46;;;11340;9820;;Google News;101.997002;25.005899;104;59,22
HealthMap;"Luquan Country; Kunming; Yunnan Province; China";China;Avian Influenza H5N6;Poultry (domestic);6157457;reuters;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFgrcS-xkMjgZxIVRqPPUA7IK-9XA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=DEn1W6iBF5mCpwfE7YX4Dg&url=https://in.reuters.com/article/us-china-health-birdflu-outbreak/china-confirms-two-h5n6-bird-flu-outbreaks-in-yunnan-province-idINKCN1NQ19P;21-nov-18;Breaking;Relevant;yes;242729;8/15/19 14:46;;;;;;Google News;102.471519;25.551332;142;44,31
HealthMap;"Tengchong; Baoshan; Yunnan Province; China";China;Avian Influenza H5N6;Poultry (domestic);6157457;reuters;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFgrcS-xkMjgZxIVRqPPUA7IK-9XA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=DEn1W6iBF5mCpwfE7YX4Dg&url=https://in.reuters.com/article/us-china-health-birdflu-outbreak/china-confirms-two-h5n6-bird-flu-outbreaks-in-yunnan-province-idINKCN1NQ19P;21-nov-18;Breaking;Relevant;yes;242729;8/15/19 14:46;;;;;;Google News;100.746483;22.338818;77;69,8
HealthMap;"Jiangsu Province; China";China;Avian Influenza H5N6;Poultry (domestic);6160553;yahoo;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE43rj7NMwJDulUXJrzel1868C5Uw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=gG33W4C7FpmCpwfE7YX4Dg&url=https://uk.news.yahoo.com/china-reports-h5n6-bird-flu-020222444.html;22-nov-18;Breaking;Relevant;yes;243659;8/16/19 8:15;;;;;;Google News;120.014603;32.9902;131;48,63
HealthMap;"Jiangsu Province; China";China;Avian Influenza H5N6;Poultry (domestic);6161711;straitstimes;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHRV3ClflPzquiXYIFDMxWJ5vZYzw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780111406277&ei=pVz4W9jiG4SP3QHftI_oAQ&url=https://www.straitstimes.com/asia/east-asia/china-reports-h5n6-bird-flu-outbreak-in-jiangsu-province;22-nov-18;Breaking;Relevant;yes;243659;8/15/19 14:46;;;;;;Google News;120.014603;32.9902;131;48,63
HealthMap;"Yunlin County; Taiwan";China;Avian Influenza H5N2;Ducks (domestic);6197582;focustaiwan;http://focustaiwan.tw/news/asoc/201812080014.aspx;08-Dec-18;Breaking;Relevant;yes;238850;08/09/2019 15:56;;;;;;Google News;120.333336;23.666668;244;4,31
HealthMap;Vietnam;Vietnam;Avian Influenza;Poultry (domestic);6203505;vietnamnews;http://vietnamnews.vn/society/481775/provinces-take-steps-to-control-avian-flu-outbreak.html;10-Dec-18;Breaking;Irrelevant;no;;12/11/2018 10:52;;;;;;Google News;108.457001;14.9447;70;72,55
HealthMap;"Odisha State; India";India;Avian Influenza;Poultry (domestic);6205127;newindianexpress;http://www.newindianexpress.com/states/odisha/2018/dec/12/bird-flu-alert-in-bhitarkanika-1910446.html;12-Dec-18;Breaking;Irrelevant;no;;12/12/2018 13:32;;;;;;Google News;85.001404;20.752399;103;59,61
HealthMap;"Puri; Orissa; India";India;Avian Influenza;Poultry (domestic);6207202;kalingatv;https://kalingatv.com/state/bird-flu-district-administration-orders-bird-culling-in-brahmagiri-from-tomorrow/;13-Dec-18;Breaking;Relevant;yes;243942;12/13/18 11:22;;20000;;;;Google News;85.824944;19.79825;94;63,14
HealthMap;"Puri; Orissa; India";India;Avian Influenza H5N1;Poultry (domestic);6210593;twitter;https://twitter.com/crof/statuses/1073967493985824768;15-Dec-18;Breaking;Relevant;yes;243942;08/09/2019 09:58;;;;;;Twitter;85.824944;19.79825;94;63,14
HealthMap;"Puri; Orissa; India";India;Avian Influenza;Poultry (domestic);6215116;odishabytes;http://www.odishabytes.com/bird-flu-situation-in-krushnaprasad-block-alarming-minister/;19-Dec-18;Breaking;Relevant;yes;244806;12/19/18 11:31;;;;;;Google News;85.824944;19.79825;94;63,14
HealthMap;"Kendrapara; Orissa; India";India;Avian Influenza;Poultry (domestic);6216960;downtoearth;https://www.downtoearth.org.in/news/wildlife-biodiversity/chilika-bird-flu-scare-veterinarians-collect-poop-of-migratory-birds-cull-poultry-62558;20-Dec-18;Warning;Relevant;yes;244981;08/02/2019 11:24;;;;;;Google News;86.42627;20.49918;150;41,18
HealthMap;"Bihar; India";India;Avian Influenza;Poultry (domestic);6218937;indiatimes;https://timesofindia.indiatimes.com/city/patna/bird-flu-culling-of-birds-ordered-in-bihars-munger/articleshow/67195796.cms;21-Dec-18;Breaking;Relevant;yes;244809;12/23/18 7:33;;;;;;Google News;85.75;25.75;149;41,57
HealthMap;"Bihar; India";India;Avian Influenza H5N1;Humans;6219155;uniindia;http://www.uniindia.com/h5n1-virus-detected-in-bihar-s-munger-district/east/news/1445296.html;21-Dec-18;Breaking;Relevant;no;;12/24/18 10:17;;;;;;Google News;85.75;25.75;149;41,57
HealthMap;"Munger; Bihār; India";India;Avian Influenza H5N1;Birds;6219155;uniindia;http://www.uniindia.com/h5n1-virus-detected-in-bihar-s-munger-district/east/news/1445296.html;21-Dec-18;Breaking;Relevant;yes;;12/24/18 10:17;;;;;;Google News;86.466667;25.383333;159;37,65
HealthMap;"Patna; Bihār; India";India;Avian Influenza;Peacocks;6222787;indiatimes;https://timesofindia.indiatimes.com/city/ranchi/jharkhand-zoos-on-alert-following-bird-flu-outbreak-in-patna/articleshow/67243927.cms;25-Dec-18;Breaking;Relevant;yes;244978;12/29/18 9:07;;;;;;Google News;85.116997;25.6;139;45,49
HealthMap;"Bihar; India";India;Avian Influenza;Poultry (domestic);6225831;promedmail;http://promedmail.org/direct.php?id=20181229.6225831;29-Dec-18;Warning;Relevant;yes;244978;08/01/2019 18:46;;;;;;ProMED South Asia;85.75;25.75;149;41,57
HealthMap;"Patna; Bihār; India";India;Avian Influenza;Poultry (domestic);6228090;indiatimes;https://timesofindia.indiatimes.com/city/patna/govt-advisory-to-all-districts-against-bird-flu/articleshow/67261553.cms;26-Dec-18;Warning;Relevant;yes;244978;08/01/2019 11:22;;;;;;Google News;85.116997;25.6;139;45,49
HealthMap;"Jharkhand State; India";India;Avian Influenza;Poultry (domestic);6230772;moveefy;https://moveefy.com/2018/12/27/jharkhand-zoos-on-alert-following-bird-flu-outbreak-in-patna/;27-Dec-18;Breaking;Relevant;no;;08/01/2019 14:12;;;;;;Google News;85.5;23.75;104;59,22
HealthMap;"Patna; Bihār; India";India;Avian Influenza;Peacocks;6230772;moveefy;https://moveefy.com/2018/12/27/jharkhand-zoos-on-alert-following-bird-flu-outbreak-in-patna/;27-Dec-18;Breaking;Relevant;no;;08/01/2019 14:12;;;;6;;Google News;85.116997;25.6;139;45,49
HealthMap;"Patna; Bihār; India";India;Avian Influenza H5N1;Peacocks;6231463;twitter;https://twitter.com/Fla_Medic/statuses/1077571254205538304;25-Dec-18;Breaking;Relevant;yes;;08/01/2019 14:05;;;;6;;Twitter;85.116997;25.6;139;45,49
HealthMap;"Patna; Bihar; India";India;Avian Influenza H5N1;Peacocks;6231468;twitter;https://twitter.com/FluTrackers/statuses/1077629051630702593;25-Dec-18;Breaking;Relevant;yes;244978;08/01/2019 14:03;;;;6;;Twitter;83.75135;26.029247;80;68,63
HealthMap;"Patna; Bihār; India";India;Avian Influenza;Peacocks;6231468;twitter;https://twitter.com/FluTrackers/statuses/1077629051630702593;25-Dec-18;Breaking;Relevant;yes;244978;08/01/2019 14:03;;;;;;Twitter;85.116997;25.6;139;45,49
HealthMap;"Patna; Bihār; India";India;Avian Influenza H5N1;Peacocks;6237340;twitter;https://twitter.com/crof/statuses/1079877585474076672;31-Dec-18;Warning;Relevant;yes;244979;08/01/2019 11:43;;;;8;;Twitter;85.116997;25.6;139;45,49
